2026/04/19 00:23:02.277, 63759 MiB, 81920 MiB, 94 %, 303.98 W
2026/04/19 00:23:03.307, 63759 MiB, 81920 MiB, 95 %, 317.58 W
2026/04/19 00:23:04.333, 63759 MiB, 81920 MiB, 94 %, 314.91 W
2026/04/19 00:23:05.364, 63759 MiB, 81920 MiB, 94 %, 330.57 W
2026/04/19 00:23:06.397, 63759 MiB, 81920 MiB, 95 %, 309.58 W
2026/04/19 00:23:07.428, 63759 MiB, 81920 MiB, 94 %, 308.71 W
2026/04/19 00:23:08.455, 63759 MiB, 81920 MiB, 95 %, 384.77 W
2026/04/19 00:23:09.481, 63759 MiB, 81920 MiB, 95 %, 312.24 W
2026/04/19 00:23:10.507, 63759 MiB, 81920 MiB, 94 %, 309.26 W
2026/04/19 00:23:11.534, 63759 MiB, 81920 MiB, 94 %, 314.04 W
2026/04/19 00:23:12.559, 63759 MiB, 81920 MiB, 95 %, 305.12 W
2026/04/19 00:23:13.588, 63759 MiB, 81920 MiB, 94 %, 323.24 W
2026/04/19 00:23:14.615, 63759 MiB, 81920 MiB, 94 %, 310.78 W
2026/04/19 00:23:15.641, 63759 MiB, 81920 MiB, 95 %, 316.98 W
2026/04/19 00:23:16.667, 63759 MiB, 81920 MiB, 94 %, 312.52 W
2026/04/19 00:23:17.696, 63759 MiB, 81920 MiB, 94 %, 311.05 W
2026/04/19 00:23:18.722, 63759 MiB, 81920 MiB, 95 %, 313.99 W
2026/04/19 00:23:19.748, 63759 MiB, 81920 MiB, 94 %, 324.10 W
2026/04/19 00:23:20.780, 63759 MiB, 81920 MiB, 95 %, 319.91 W
2026/04/19 00:23:21.806, 63759 MiB, 81920 MiB, 95 %, 320.51 W
2026/04/19 00:23:22.833, 63759 MiB, 81920 MiB, 94 %, 313.99 W
2026/04/19 00:23:23.859, 63759 MiB, 81920 MiB, 95 %, 317.57 W
2026/04/19 00:23:24.886, 63759 MiB, 81920 MiB, 95 %, 315.83 W
2026/04/19 00:23:25.914, 63885 MiB, 81920 MiB, 100 %, 298.33 W
2026/04/19 00:23:26.942, 63885 MiB, 81920 MiB, 100 %, 301.26 W
2026/04/19 00:23:27.969, 63885 MiB, 81920 MiB, 100 %, 295.66 W
2026/04/19 00:23:29.000, 63887 MiB, 81920 MiB, 100 %, 301.03 W
2026/04/19 00:23:30.028, 63887 MiB, 81920 MiB, 100 %, 292.13 W
2026/04/19 00:23:31.056, 63887 MiB, 81920 MiB, 100 %, 299.84 W
2026/04/19 00:23:32.082, 63995 MiB, 81920 MiB, 100 %, 292.13 W
2026/04/19 00:23:33.107, 63995 MiB, 81920 MiB, 100 %, 309.58 W
2026/04/19 00:23:34.133, 63995 MiB, 81920 MiB, 100 %, 310.45 W
2026/04/19 00:23:35.160, 63995 MiB, 81920 MiB, 100 %, 306.92 W
2026/04/19 00:23:36.185, 63995 MiB, 81920 MiB, 95 %, 314.64 W
2026/04/19 00:23:37.211, 64431 MiB, 81920 MiB, 81 %, 418.05 W
2026/04/19 00:23:38.237, 64431 MiB, 81920 MiB, 100 %, 317.25 W
2026/04/19 00:23:39.263, 64431 MiB, 81920 MiB, 100 %, 310.78 W
2026/04/19 00:23:40.293, 64431 MiB, 81920 MiB, 100 %, 319.38 W
2026/04/19 00:23:41.321, 64431 MiB, 81920 MiB, 8 %, 125.75 W
