2026/04/19 14:10:49.483, 68629 MiB, 81559 MiB, 79 %, 507.85 W
2026/04/19 14:10:50.515, 68629 MiB, 81559 MiB, 96 %, 557.37 W
2026/04/19 14:10:51.551, 68629 MiB, 81559 MiB, 83 %, 487.32 W
2026/04/19 14:10:52.586, 68629 MiB, 81559 MiB, 95 %, 562.33 W
2026/04/19 14:10:53.624, 68629 MiB, 81559 MiB, 81 %, 489.64 W
2026/04/19 14:10:54.654, 68629 MiB, 81559 MiB, 91 %, 565.92 W
2026/04/19 14:10:55.685, 68629 MiB, 81559 MiB, 77 %, 495.88 W
2026/04/19 14:10:56.719, 68629 MiB, 81559 MiB, 91 %, 564.80 W
2026/04/19 14:10:57.751, 68629 MiB, 81559 MiB, 79 %, 404.02 W
2026/04/19 14:10:58.784, 68629 MiB, 81559 MiB, 93 %, 565.79 W
2026/04/19 14:10:59.816, 68629 MiB, 81559 MiB, 81 %, 483.22 W
2026/04/19 14:11:00.854, 68629 MiB, 81559 MiB, 92 %, 560.30 W
2026/04/19 14:11:01.888, 68629 MiB, 81559 MiB, 81 %, 495.48 W
2026/04/19 14:11:02.919, 68629 MiB, 81559 MiB, 93 %, 560.42 W
2026/04/19 14:11:03.951, 68629 MiB, 81559 MiB, 79 %, 481.06 W
2026/04/19 14:11:04.985, 68629 MiB, 81559 MiB, 79 %, 564.29 W
2026/04/19 14:11:06.018, 68629 MiB, 81559 MiB, 81 %, 496.37 W
2026/04/19 14:11:07.051, 68629 MiB, 81559 MiB, 81 %, 554.29 W
2026/04/19 14:11:08.083, 68629 MiB, 81559 MiB, 80 %, 495.96 W
2026/04/19 14:11:09.114, 68629 MiB, 81559 MiB, 79 %, 554.94 W
2026/04/19 14:11:10.146, 68629 MiB, 81559 MiB, 80 %, 494.98 W
2026/04/19 14:11:11.182, 68629 MiB, 81559 MiB, 75 %, 534.93 W
2026/04/19 14:11:12.212, 68629 MiB, 81559 MiB, 79 %, 458.46 W
2026/04/19 14:11:13.245, 68629 MiB, 81559 MiB, 79 %, 560.07 W
2026/04/19 14:11:14.278, 68629 MiB, 81559 MiB, 79 %, 500.91 W
2026/04/19 14:11:15.314, 68629 MiB, 81559 MiB, 79 %, 560.51 W
2026/04/19 14:11:16.349, 68629 MiB, 81559 MiB, 81 %, 407.66 W
2026/04/19 14:11:17.382, 68629 MiB, 81559 MiB, 80 %, 547.57 W
2026/04/19 14:11:18.414, 68629 MiB, 81559 MiB, 81 %, 504.86 W
2026/04/19 14:11:19.447, 68629 MiB, 81559 MiB, 79 %, 547.66 W
2026/04/19 14:11:20.481, 68629 MiB, 81559 MiB, 82 %, 501.51 W
2026/04/19 14:11:21.515, 68629 MiB, 81559 MiB, 79 %, 553.31 W
2026/04/19 14:11:22.549, 68629 MiB, 81559 MiB, 79 %, 483.83 W
2026/04/19 14:11:23.584, 68629 MiB, 81559 MiB, 80 %, 542.92 W
2026/04/19 14:11:24.617, 68629 MiB, 81559 MiB, 83 %, 499.31 W
2026/04/19 14:11:25.649, 68629 MiB, 81559 MiB, 78 %, 546.08 W
2026/04/19 14:11:26.681, 68629 MiB, 81559 MiB, 80 %, 502.75 W
2026/04/19 14:11:27.713, 68629 MiB, 81559 MiB, 80 %, 546.59 W
2026/04/19 14:11:28.744, 68629 MiB, 81559 MiB, 79 %, 496.71 W
2026/04/19 14:11:29.776, 68629 MiB, 81559 MiB, 81 %, 543.52 W
2026/04/19 14:11:30.811, 68629 MiB, 81559 MiB, 81 %, 494.04 W
2026/04/19 14:11:31.842, 68629 MiB, 81559 MiB, 80 %, 548.88 W
2026/04/19 14:11:32.873, 68629 MiB, 81559 MiB, 80 %, 504.80 W
2026/04/19 14:11:33.908, 68629 MiB, 81559 MiB, 79 %, 553.38 W
2026/04/19 14:11:34.939, 68629 MiB, 81559 MiB, 80 %, 443.86 W
2026/04/19 14:11:35.975, 68629 MiB, 81559 MiB, 79 %, 552.89 W
2026/04/19 14:11:37.010, 68629 MiB, 81559 MiB, 80 %, 500.85 W
2026/04/19 14:11:38.043, 68629 MiB, 81559 MiB, 79 %, 556.48 W
2026/04/19 14:11:39.080, 68629 MiB, 81559 MiB, 80 %, 493.90 W
2026/04/19 14:11:40.113, 68629 MiB, 81559 MiB, 79 %, 554.64 W
2026/04/19 14:11:41.145, 68629 MiB, 81559 MiB, 78 %, 497.94 W
2026/04/19 14:11:42.178, 68629 MiB, 81559 MiB, 80 %, 556.84 W
2026/04/19 14:11:43.213, 68629 MiB, 81559 MiB, 81 %, 492.07 W
2026/04/19 14:11:44.245, 68629 MiB, 81559 MiB, 82 %, 563.65 W
2026/04/19 14:11:45.280, 68629 MiB, 81559 MiB, 74 %, 460.81 W
2026/04/19 14:11:46.313, 68629 MiB, 81559 MiB, 78 %, 532.19 W
2026/04/19 14:11:47.347, 68629 MiB, 81559 MiB, 81 %, 498.89 W
2026/04/19 14:11:48.380, 68629 MiB, 81559 MiB, 81 %, 555.81 W
2026/04/19 14:11:49.413, 68629 MiB, 81559 MiB, 77 %, 490.84 W
2026/04/19 14:11:50.446, 68629 MiB, 81559 MiB, 81 %, 549.29 W
2026/04/19 14:11:51.482, 68629 MiB, 81559 MiB, 79 %, 498.92 W
2026/04/19 14:11:52.514, 68629 MiB, 81559 MiB, 81 %, 551.24 W
2026/04/19 14:11:53.548, 68629 MiB, 81559 MiB, 81 %, 496.24 W
2026/04/19 14:11:54.584, 68629 MiB, 81559 MiB, 78 %, 461.61 W
2026/04/19 14:11:55.620, 68629 MiB, 81559 MiB, 81 %, 483.94 W
2026/04/19 14:11:56.654, 68629 MiB, 81559 MiB, 82 %, 559.16 W
2026/04/19 14:11:57.687, 68629 MiB, 81559 MiB, 82 %, 504.58 W
2026/04/19 14:11:58.719, 68629 MiB, 81559 MiB, 81 %, 562.91 W
2026/04/19 14:11:59.752, 68629 MiB, 81559 MiB, 82 %, 498.51 W
2026/04/19 14:12:00.786, 68629 MiB, 81559 MiB, 79 %, 565.20 W
2026/04/19 14:12:01.819, 68629 MiB, 81559 MiB, 80 %, 496.10 W
2026/04/19 14:12:02.852, 68629 MiB, 81559 MiB, 79 %, 543.95 W
2026/04/19 14:12:03.885, 68629 MiB, 81559 MiB, 79 %, 504.14 W
2026/04/19 14:12:04.919, 68629 MiB, 81559 MiB, 79 %, 553.89 W
2026/04/19 14:12:05.950, 68629 MiB, 81559 MiB, 73 %, 494.60 W
2026/04/19 14:12:06.981, 68629 MiB, 81559 MiB, 82 %, 559.18 W
2026/04/19 14:12:08.013, 68629 MiB, 81559 MiB, 80 %, 498.31 W
2026/04/19 14:12:09.045, 68629 MiB, 81559 MiB, 79 %, 559.76 W
2026/04/19 14:12:10.077, 68629 MiB, 81559 MiB, 81 %, 497.77 W
2026/04/19 14:12:11.110, 68629 MiB, 81559 MiB, 80 %, 559.03 W
2026/04/19 14:12:12.144, 68629 MiB, 81559 MiB, 78 %, 499.31 W
2026/04/19 14:12:13.179, 68629 MiB, 81559 MiB, 0 %, 478.10 W
2026/04/19 14:12:14.213, 68629 MiB, 81559 MiB, 81 %, 494.47 W
2026/04/19 14:12:15.246, 68629 MiB, 81559 MiB, 81 %, 548.80 W
2026/04/19 14:12:16.280, 68629 MiB, 81559 MiB, 81 %, 488.59 W
2026/04/19 14:12:17.313, 68629 MiB, 81559 MiB, 79 %, 558.30 W
2026/04/19 14:12:18.345, 68629 MiB, 81559 MiB, 80 %, 487.63 W
2026/04/19 14:12:19.380, 68629 MiB, 81559 MiB, 73 %, 547.60 W
2026/04/19 14:12:20.412, 68629 MiB, 81559 MiB, 73 %, 463.95 W
2026/04/19 14:12:21.446, 68629 MiB, 81559 MiB, 79 %, 552.64 W
2026/04/19 14:12:22.478, 68629 MiB, 81559 MiB, 82 %, 489.95 W
2026/04/19 14:12:23.509, 68629 MiB, 81559 MiB, 80 %, 556.03 W
2026/04/19 14:12:24.543, 68629 MiB, 81559 MiB, 82 %, 495.22 W
2026/04/19 14:12:25.576, 68629 MiB, 81559 MiB, 80 %, 555.87 W
2026/04/19 14:12:26.610, 68629 MiB, 81559 MiB, 80 %, 503.75 W
2026/04/19 14:12:27.644, 68629 MiB, 81559 MiB, 79 %, 554.72 W
2026/04/19 14:12:28.675, 68629 MiB, 81559 MiB, 74 %, 482.22 W
2026/04/19 14:12:29.706, 68629 MiB, 81559 MiB, 81 %, 550.91 W
2026/04/19 14:12:30.739, 68629 MiB, 81559 MiB, 81 %, 503.69 W
2026/04/19 14:12:31.775, 68629 MiB, 81559 MiB, 79 %, 557.43 W
2026/04/19 14:12:32.810, 68629 MiB, 81559 MiB, 79 %, 416.09 W
2026/04/19 14:12:33.842, 68629 MiB, 81559 MiB, 81 %, 545.39 W
