2026/04/19 15:38:24.084, 68549 MiB, 81920 MiB, 89 %, 284.42 W
2026/04/19 15:38:25.125, 68549 MiB, 81920 MiB, 90 %, 298.64 W
2026/04/19 15:38:26.160, 68549 MiB, 81920 MiB, 89 %, 298.35 W
2026/04/19 15:38:27.192, 68549 MiB, 81920 MiB, 90 %, 285.60 W
2026/04/19 15:38:28.226, 68549 MiB, 81920 MiB, 90 %, 291.54 W
2026/04/19 15:38:29.266, 68549 MiB, 81920 MiB, 90 %, 286.50 W
2026/04/19 15:38:30.301, 68549 MiB, 81920 MiB, 87 %, 290.91 W
2026/04/19 15:38:31.333, 68549 MiB, 81920 MiB, 90 %, 300.68 W
2026/04/19 15:38:32.376, 68549 MiB, 81920 MiB, 90 %, 290.63 W
2026/04/19 15:38:33.411, 68549 MiB, 81920 MiB, 90 %, 310.73 W
2026/04/19 15:38:34.453, 68549 MiB, 81920 MiB, 88 %, 313.45 W
2026/04/19 15:38:35.486, 68549 MiB, 81920 MiB, 88 %, 278.21 W
2026/04/19 15:38:36.519, 68549 MiB, 81920 MiB, 90 %, 292.97 W
2026/04/19 15:38:37.550, 68549 MiB, 81920 MiB, 90 %, 287.64 W
2026/04/19 15:38:38.583, 68549 MiB, 81920 MiB, 90 %, 292.10 W
2026/04/19 15:38:39.621, 68549 MiB, 81920 MiB, 86 %, 280.57 W
2026/04/19 15:38:40.656, 68549 MiB, 81920 MiB, 89 %, 298.57 W
2026/04/19 15:38:41.690, 68549 MiB, 81920 MiB, 89 %, 304.24 W
2026/04/19 15:38:42.727, 68549 MiB, 81920 MiB, 89 %, 274.92 W
2026/04/19 15:38:43.764, 68549 MiB, 81920 MiB, 90 %, 279.10 W
2026/04/19 15:38:44.803, 68549 MiB, 81920 MiB, 89 %, 274.93 W
2026/04/19 15:38:45.836, 68549 MiB, 81920 MiB, 87 %, 306.96 W
2026/04/19 15:38:46.869, 68549 MiB, 81920 MiB, 87 %, 289.14 W
2026/04/19 15:38:47.908, 68549 MiB, 81920 MiB, 90 %, 291.81 W
2026/04/19 15:38:48.941, 68549 MiB, 81920 MiB, 90 %, 293.03 W
2026/04/19 15:38:49.972, 68549 MiB, 81920 MiB, 89 %, 295.10 W
2026/04/19 15:38:51.005, 68549 MiB, 81920 MiB, 90 %, 298.08 W
2026/04/19 15:38:52.039, 68549 MiB, 81920 MiB, 89 %, 302.77 W
2026/04/19 15:38:53.070, 68549 MiB, 81920 MiB, 87 %, 290.94 W
2026/04/19 15:38:54.104, 68549 MiB, 81920 MiB, 88 %, 267.18 W
2026/04/19 15:38:55.142, 68549 MiB, 81920 MiB, 90 %, 305.76 W
2026/04/19 15:38:56.174, 68549 MiB, 81920 MiB, 90 %, 282.37 W
2026/04/19 15:38:57.212, 68549 MiB, 81920 MiB, 90 %, 281.13 W
2026/04/19 15:38:58.244, 68549 MiB, 81920 MiB, 90 %, 292.41 W
2026/04/19 15:38:59.283, 68549 MiB, 81920 MiB, 89 %, 284.10 W
2026/04/19 15:39:00.318, 68549 MiB, 81920 MiB, 90 %, 254.50 W
2026/04/19 15:39:01.357, 68549 MiB, 81920 MiB, 90 %, 280.84 W
2026/04/19 15:39:02.393, 68549 MiB, 81920 MiB, 89 %, 300.11 W
2026/04/19 15:39:03.433, 68549 MiB, 81920 MiB, 89 %, 277.30 W
2026/04/19 15:39:04.469, 68549 MiB, 81920 MiB, 90 %, 303.70 W
2026/04/19 15:39:05.501, 68549 MiB, 81920 MiB, 89 %, 291.21 W
2026/04/19 15:39:06.532, 68549 MiB, 81920 MiB, 90 %, 298.35 W
2026/04/19 15:39:07.565, 68549 MiB, 81920 MiB, 89 %, 301.91 W
2026/04/19 15:39:08.598, 68549 MiB, 81920 MiB, 85 %, 278.17 W
2026/04/19 15:39:09.631, 68549 MiB, 81920 MiB, 87 %, 280.53 W
