2026/04/19 13:57:20.286, 69087 MiB, 81559 MiB, 80 %, 547.71 W
2026/04/19 13:57:21.323, 69087 MiB, 81559 MiB, 78 %, 505.41 W
2026/04/19 13:57:22.355, 69087 MiB, 81559 MiB, 79 %, 547.11 W
2026/04/19 13:57:23.387, 69087 MiB, 81559 MiB, 81 %, 505.25 W
2026/04/19 13:57:24.419, 69087 MiB, 81559 MiB, 77 %, 550.05 W
2026/04/19 13:57:25.451, 69087 MiB, 81559 MiB, 81 %, 501.71 W
2026/04/19 13:57:26.482, 69087 MiB, 81559 MiB, 79 %, 548.83 W
2026/04/19 13:57:27.514, 69087 MiB, 81559 MiB, 79 %, 505.65 W
2026/04/19 13:57:28.546, 69087 MiB, 81559 MiB, 79 %, 568.17 W
2026/04/19 13:57:29.572, 69087 MiB, 81559 MiB, 82 %, 500.07 W
2026/04/19 13:57:30.601, 69087 MiB, 81559 MiB, 82 %, 561.12 W
2026/04/19 13:57:31.632, 69087 MiB, 81559 MiB, 79 %, 497.48 W
2026/04/19 13:57:32.664, 69087 MiB, 81559 MiB, 82 %, 558.52 W
2026/04/19 13:57:33.695, 69087 MiB, 81559 MiB, 86 %, 500.93 W
2026/04/19 13:57:34.727, 69087 MiB, 81559 MiB, 83 %, 464.78 W
2026/04/19 13:57:35.756, 69087 MiB, 81559 MiB, 81 %, 493.78 W
2026/04/19 13:57:36.787, 69087 MiB, 81559 MiB, 82 %, 563.40 W
2026/04/19 13:57:37.815, 69087 MiB, 81559 MiB, 79 %, 493.51 W
2026/04/19 13:57:38.844, 69087 MiB, 81559 MiB, 79 %, 553.71 W
2026/04/19 13:57:39.875, 69087 MiB, 81559 MiB, 77 %, 496.81 W
2026/04/19 13:57:40.905, 69087 MiB, 81559 MiB, 79 %, 557.57 W
2026/04/19 13:57:41.936, 69087 MiB, 81559 MiB, 75 %, 482.68 W
2026/04/19 13:57:42.970, 69087 MiB, 81559 MiB, 73 %, 546.03 W
2026/04/19 13:57:44.004, 69087 MiB, 81559 MiB, 79 %, 476.62 W
2026/04/19 13:57:45.034, 69087 MiB, 81559 MiB, 81 %, 565.29 W
2026/04/19 13:57:46.068, 69087 MiB, 81559 MiB, 80 %, 498.46 W
2026/04/19 13:57:47.098, 69087 MiB, 81559 MiB, 79 %, 554.36 W
2026/04/19 13:57:48.128, 69087 MiB, 81559 MiB, 81 %, 496.45 W
2026/04/19 13:57:49.160, 69087 MiB, 81559 MiB, 82 %, 560.47 W
2026/04/19 13:57:50.189, 69087 MiB, 81559 MiB, 81 %, 537.37 W
2026/04/19 13:57:51.219, 69087 MiB, 81559 MiB, 80 %, 531.39 W
2026/04/19 13:57:52.251, 69087 MiB, 81559 MiB, 95 %, 544.61 W
2026/04/19 13:57:53.282, 69087 MiB, 81559 MiB, 78 %, 413.17 W
2026/04/19 13:57:54.310, 69087 MiB, 81559 MiB, 79 %, 498.15 W
2026/04/19 13:57:55.337, 69087 MiB, 81559 MiB, 77 %, 555.30 W
2026/04/19 13:57:56.369, 69087 MiB, 81559 MiB, 78 %, 497.53 W
2026/04/19 13:57:57.400, 69087 MiB, 81559 MiB, 81 %, 555.11 W
2026/04/19 13:57:58.431, 69087 MiB, 81559 MiB, 82 %, 503.23 W
2026/04/19 13:57:59.464, 69087 MiB, 81559 MiB, 80 %, 528.59 W
2026/04/19 13:58:00.494, 69087 MiB, 81559 MiB, 87 %, 528.29 W
2026/04/19 13:58:01.526, 69087 MiB, 81559 MiB, 78 %, 539.57 W
2026/04/19 13:58:02.554, 69087 MiB, 81559 MiB, 87 %, 533.10 W
2026/04/19 13:58:03.584, 69087 MiB, 81559 MiB, 80 %, 510.50 W
2026/04/19 13:58:04.613, 69087 MiB, 81559 MiB, 84 %, 524.73 W
2026/04/19 13:58:05.643, 69087 MiB, 81559 MiB, 81 %, 522.34 W
2026/04/19 13:58:06.674, 69087 MiB, 81559 MiB, 95 %, 541.59 W
2026/04/19 13:58:07.706, 69087 MiB, 81559 MiB, 79 %, 506.59 W
2026/04/19 13:58:08.736, 69087 MiB, 81559 MiB, 96 %, 543.65 W
2026/04/19 13:58:09.767, 69087 MiB, 81559 MiB, 77 %, 492.85 W
2026/04/19 13:58:10.798, 69087 MiB, 81559 MiB, 91 %, 554.28 W
2026/04/19 13:58:11.831, 69087 MiB, 81559 MiB, 80 %, 403.32 W
2026/04/19 13:58:12.864, 69087 MiB, 81559 MiB, 87 %, 537.79 W
2026/04/19 13:58:13.895, 69087 MiB, 81559 MiB, 79 %, 532.59 W
2026/04/19 13:58:14.925, 69087 MiB, 81559 MiB, 89 %, 518.98 W
2026/04/19 13:58:15.957, 69087 MiB, 81559 MiB, 84 %, 521.82 W
2026/04/19 13:58:16.987, 69087 MiB, 81559 MiB, 78 %, 496.65 W
2026/04/19 13:58:18.018, 69087 MiB, 81559 MiB, 77 %, 501.45 W
2026/04/19 13:58:19.063, 69087 MiB, 81559 MiB, 88 %, 524.81 W
2026/04/19 13:58:20.135, 69087 MiB, 81559 MiB, 79 %, 528.69 W
2026/04/19 13:58:21.167, 69087 MiB, 81559 MiB, 92 %, 556.59 W
2026/04/19 13:58:22.198, 69087 MiB, 81559 MiB, 80 %, 501.48 W
2026/04/19 13:58:23.233, 69087 MiB, 81559 MiB, 88 %, 555.22 W
2026/04/19 13:58:24.266, 69087 MiB, 81559 MiB, 79 %, 497.24 W
2026/04/19 13:58:25.296, 69087 MiB, 81559 MiB, 98 %, 564.46 W
2026/04/19 13:58:26.327, 69087 MiB, 81559 MiB, 79 %, 497.54 W
2026/04/19 13:58:27.355, 69087 MiB, 81559 MiB, 96 %, 568.89 W
2026/04/19 13:58:28.387, 69087 MiB, 81559 MiB, 79 %, 485.23 W
2026/04/19 13:58:29.418, 69087 MiB, 81559 MiB, 98 %, 568.18 W
2026/04/19 13:58:30.449, 69087 MiB, 81559 MiB, 39 %, 340.98 W
2026/04/19 13:58:31.482, 69087 MiB, 81559 MiB, 93 %, 539.48 W
2026/04/19 13:58:32.514, 69087 MiB, 81559 MiB, 80 %, 531.55 W
2026/04/19 13:58:33.545, 69087 MiB, 81559 MiB, 92 %, 530.98 W
2026/04/19 13:58:34.573, 69087 MiB, 81559 MiB, 82 %, 483.62 W
2026/04/19 13:58:35.605, 69087 MiB, 81559 MiB, 0 %, 301.64 W
2026/04/19 13:58:36.633, 69087 MiB, 81559 MiB, 0 %, 223.75 W
2026/04/19 13:58:37.661, 69485 MiB, 81559 MiB, 76 %, 577.60 W
2026/04/19 13:58:38.692, 69485 MiB, 81559 MiB, 77 %, 489.82 W
2026/04/19 13:58:39.723, 69485 MiB, 81559 MiB, 76 %, 604.56 W
2026/04/19 13:58:40.751, 69485 MiB, 81559 MiB, 76 %, 484.94 W
2026/04/19 13:58:41.779, 69485 MiB, 81559 MiB, 95 %, 570.45 W
2026/04/19 13:58:42.809, 69485 MiB, 81559 MiB, 76 %, 532.52 W
2026/04/19 13:58:43.840, 69485 MiB, 81559 MiB, 80 %, 479.51 W
2026/04/19 13:58:44.872, 69485 MiB, 81559 MiB, 75 %, 611.16 W
2026/04/19 13:58:45.904, 69485 MiB, 81559 MiB, 76 %, 488.92 W
2026/04/19 13:58:46.934, 69485 MiB, 81559 MiB, 95 %, 443.82 W
2026/04/19 13:58:47.967, 69485 MiB, 81559 MiB, 77 %, 541.78 W
2026/04/19 13:58:48.996, 69485 MiB, 81559 MiB, 78 %, 500.66 W
2026/04/19 13:58:50.029, 69485 MiB, 81559 MiB, 75 %, 608.00 W
2026/04/19 13:58:51.058, 69485 MiB, 81559 MiB, 69 %, 465.73 W
2026/04/19 13:58:52.088, 69485 MiB, 81559 MiB, 88 %, 531.26 W
